Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
275,Justin Jackson,25,OKC,SF,33,3,16.5,2.6,6.4,.406,1.0,3.4,.306,1.6,3.1,.515,.486,0.9,1.1,.857,0.4,1.7,2.2,1.5,0.5,0.1,0.9,0.9,7.2,,jacksju01
275,Justin Jackson,25,MIL,SF,1,0,33.0,3.0,9.0,.333,2.0,6.0,.333,1.0,3.0,.333,.444,1.0,2.0,.500,2.0,4.0,6.0,1.0,0.0,0.0,1.0,1.0,9.0,,jacksju01
276,Kent Bazemore,31,GSW,SF,67,18,19.9,2.6,5.9,.449,1.1,2.7,.408,1.5,3.1,.486,.545,0.8,1.2,.692,0.4,3.0,3.4,1.6,1.0,0.5,1.2,2.4,7.2,,bazemke01
277,Juancho Hernangómez,25,MIN,PF,52,6,17.3,2.5,5.8,.435,1.1,3.2,.327,1.4,2.5,.573,.527,1.2,1.9,.619,0.9,3.1,3.9,0.7,0.4,0.1,0.5,1.0,7.2,,hernaju01
278,Aaron Holiday,24,IND,PG,66,8,17.8,2.6,6.6,.390,1.0,2.8,.368,1.6,3.8,.406,.467,1.0,1.3,.819,0.2,1.1,1.3,1.9,0.7,0.2,1.0,1.4,7.2,,holidaa01
279,Tony Bradley,23,2TM,C,42,8,16.3,3.1,4.7,.665,0.0,0.1,.000,3.1,4.6,.675,.665,0.9,1.3,.691,2.0,3.7,5.7,0.9,0.4,0.7,0.8,1.5,7.1,,bradlto01
279,Tony Bradley,23,PHI,C,20,8,14.4,2.6,3.8,.680,0.0,0.1,.000,2.6,3.7,.689,.680,0.4,0.6,.636,2.0,3.3,5.2,0.9,0.3,0.7,0.3,1.4,5.5,,bradlto01
279,Tony Bradley,23,OKC,C,22,0,18.0,3.6,5.5,.656,0.0,0.1,.000,3.6,5.5,.667,.656,1.4,2.0,.705,2.1,4.0,6.1,0.9,0.4,0.8,1.2,1.5,8.7,,bradlto01
280,Dewayne Dedmon,31,MIA,C,16,0,13.1,2.9,4.1,.708,0.1,0.3,.200,2.8,3.8,.750,.715,1.3,1.7,.741,1.8,3.6,5.4,0.8,0.6,0.4,0.8,2.3,7.1,,dedmode01
281,Maxi Kleber,29,DAL,PF,50,40,26.8,2.3,5.5,.422,1.7,4.2,.410,0.6,1.3,.460,.580,0.7,0.7,.919,0.9,4.3,5.2,1.4,0.5,0.7,0.6,2.1,7.1,,klebima01
282,Ignas Brazdeikis,22,3TM,SF,13,0,19.2,2.7,6.4,.422,0.8,2.2,.393,1.8,4.2,.436,.488,0.8,1.1,.714,0.8,2.6,3.5,1.3,0.3,0.2,0.9,1.7,7.0,,brazdig01
282,Ignas Brazdeikis,22,NYK,SF,4,0,1.8,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.5,0.5,1.000,0.3,0.3,0.5,0.3,0.0,0.0,0.3,0.0,0.5,,brazdig01
282,Ignas Brazdeikis,22,PHI,SF,1,0,8.0,0.0,3.0,.000,0.0,1.0,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,brazdig01
282,Ignas Brazdeikis,22,ORL,SF,8,0,29.3,4.4,9.9,.443,1.4,3.4,.407,3.0,6.5,.462,.513,1.0,1.5,.667,1.3,3.9,5.1,2.0,0.5,0.4,1.4,2.8,11.1,,brazdig01
283,Daniel Gafford,22,2TM,C,54,11,14.6,2.9,4.2,.684,0.0,0.0,,2.9,4.2,.684,.684,1.3,2.0,.667,1.7,2.5,4.3,0.5,0.5,1.4,0.8,1.8,7.0,,gaffoda01
283,Daniel Gafford,22,CHI,C,31,11,12.4,1.9,2.8,.690,0.0,0.0,,1.9,2.8,.690,.690,0.9,1.3,.659,1.4,1.9,3.3,0.5,0.4,1.1,0.7,1.7,4.7,,gaffoda01
283,Daniel Gafford,22,WAS,C,23,0,17.7,4.1,6.0,.681,0.0,0.0,,4.1,6.0,.681,.681,2.0,2.9,.672,2.2,3.4,5.6,0.5,0.7,1.8,0.8,1.9,10.1,,gaffoda01
284,Draymond Green,30,GSW,PF,63,63,31.5,2.7,6.0,.447,0.5,2.0,.270,2.2,4.0,.535,.492,1.1,1.4,.795,0.9,6.2,7.1,8.9,1.7,0.8,3.0,3.1,7.0,DPOY-3DEF1,greendr01
285,Dwight Howard,35,PHI,C,69,6,17.3,2.6,4.4,.587,0.1,0.3,.250,2.5,4.1,.611,.596,1.8,3.0,.576,2.8,5.7,8.4,0.9,0.4,0.9,1.6,2.9,7.0,,howardw01
286,Terance Mann,24,LAC,SG,67,10,18.9,2.7,5.2,.509,0.6,1.4,.418,2.1,3.9,.541,.563,1.2,1.4,.830,0.8,2.8,3.6,1.6,0.4,0.2,0.6,1.9,7.0,,mannte01
287,Royce O'Neale,27,UTA,SF,71,71,31.6,2.5,5.5,.444,1.5,3.9,.385,1.0,1.6,.586,.580,0.5,0.6,.848,1.2,5.6,6.8,2.5,0.8,0.5,1.2,2.6,7.0,,onealro01
288,R.J. Hampton,19,2TM,SG,51,1,17.4,2.7,6.1,.435,0.5,1.7,.310,2.1,4.4,.482,.478,1.1,1.6,.671,0.6,2.9,3.5,1.7,0.4,0.2,1.0,1.2,6.9,,hamptrj01
288,R.J. Hampton,19,DEN,SG,25,0,9.3,1.0,2.4,.417,0.2,0.7,.278,0.8,1.7,.476,.458,0.4,0.5,.750,0.4,1.6,2.0,0.6,0.2,0.1,0.4,0.9,2.6,,hamptrj01
288,R.J. Hampton,19,ORL,SG,26,1,25.2,4.3,9.7,.439,0.8,2.7,.319,3.4,7.1,.484,.482,1.8,2.7,.657,0.7,4.2,5.0,2.8,0.6,0.3,1.6,1.5,11.2,,hamptrj01
289,Moritz Wagner,23,3TM,C,45,24,16.0,2.3,5.1,.454,0.7,2.0,.341,1.6,3.1,.529,.522,1.6,1.9,.816,0.6,2.6,3.2,1.1,0.6,0.4,1.0,2.4,6.9,,wagnemo01
289,Moritz Wagner,23,WAS,C,25,13,15.0,2.5,4.9,.508,0.5,1.7,.310,2.0,3.2,.613,.561,1.6,2.1,.788,0.5,2.4,2.9,1.3,0.9,0.3,0.8,2.5,7.1,,wagnemo01
